Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,163,     9.692,yes,     0.000,ML/MOM,weibull3,     0.578,     1.129,     3.754,     3.759,       NaN,     4.950,       NaN,       NaN,     5.676,       NaN,       NaN,     5.977,       NaN,       NaN,     6.368,       NaN,       NaN,     6.445,       NaN,       NaN,     6.565,       NaN,       NaN,     6.658,       NaN,       NaN,     6.945,       NaN,
SW,44,     2.616,no,     0.000,ML/MOM,weibull3,     0.761,     1.053,     3.627,     3.759,       NaN,     4.360,       NaN,       NaN,     5.492,       NaN,       NaN,     5.967,       NaN,       NaN,     6.587,       NaN,       NaN,     6.710,       NaN,       NaN,     6.903,       NaN,       NaN,     7.052,       NaN,       NaN,     7.513,       NaN,
W,119,     7.076,yes,     0.000,ML/MOM,weibull3,     0.681,     1.635,     3.673,     3.759,       NaN,     4.700,       NaN,       NaN,     5.156,       NaN,       NaN,     5.326,       NaN,       NaN,     5.535,       NaN,       NaN,     5.575,       NaN,       NaN,     5.636,       NaN,       NaN,     5.683,       NaN,       NaN,     5.825,       NaN,
