Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,690,    41.033,yes,     0.000,ML/MOM,weibull3,     0.654,     1.062,     2.601,     2.601,       NaN,     4.850,       NaN,       NaN,     5.757,       NaN,       NaN,     6.142,       NaN,       NaN,     6.648,       NaN,       NaN,     6.748,       NaN,       NaN,     6.905,       NaN,       NaN,     7.027,       NaN,       NaN,     7.405,       NaN,
SW,293,    17.424,yes,     0.000,ML/MOM,weibull3,     0.398,     1.136,     2.607,     2.601,       NaN,     3.611,       NaN,       NaN,     4.094,       NaN,       NaN,     4.295,       NaN,       NaN,     4.556,       NaN,       NaN,     4.608,       NaN,       NaN,     4.689,       NaN,       NaN,     4.751,       NaN,       NaN,     4.943,       NaN,
W,393,    23.371,yes,     0.000,ML/MOM,weibull3,     0.911,     1.249,     2.580,     2.601,       NaN,     4.863,       NaN,       NaN,     5.757,       NaN,       NaN,     6.122,       NaN,       NaN,     6.591,       NaN,       NaN,     6.682,       NaN,       NaN,     6.826,       NaN,       NaN,     6.937,       NaN,       NaN,     7.276,       NaN,
NW,6,     0.357,yes,     0.000,ML/MOM,weibull3,     1.250,     3.055,     2.178,     2.601,       NaN,     2.830,       NaN,       NaN,     3.223,       NaN,       NaN,     3.530,       NaN,       NaN,     3.793,       NaN,       NaN,     3.836,       NaN,       NaN,     3.899,       NaN,       NaN,     3.945,       NaN,       NaN,     4.075,       NaN,
