date,station,lon,lat,nearest1,dist1,climnear1,nearest2,dist2,climnear2,med05,std05,clim05,med1,std1,clim1,med2,std2,clim2
19910901,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.02199936680496E1,9.11184573702138,1.5719993545115E1,9.90999367497864,1.43596736670112E1,1.47799935661257E1,1.06699936579913E1,0.801836033045325,1.52824935548939E1,1.16599936358631E1,1.22791752805026,1.6174993534945E1,1.34449935959653E1,1.79040282858655,1.81049934918061E1
19910902,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.04299936633557E1,9.11184573702138,1.5719993545115E1,1.00699936714024E1,1.43596736670112E1,1.47799935661257E1,1.08099936548621E1,0.822822306869158,1.52824935548939E1,1.17749936332927E1,1.19569478901288,1.6174993534945E1,1.34749935952947E1,1.75599374726369,1.81049934918061E1
19910903,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.07199936568737E1,9.11184573702138,1.5719993545115E1,1.02799936667085E1,1.43596736670112E1,1.47799935661257E1,1.10299936499447E1,0.839629442113607,1.52824935548939E1,1.19049936303869E1,1.16095991200191,1.6174993534945E1,1.35249935941771E1,1.7275392373107,1.81049934918061E1
19910904,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.0869993653521E1,9.11184573702138,1.5719993545115E1,1.03899936642498E1,1.43596736670112E1,1.47799935661257E1,1.11249936478212E1,0.854388651239788,1.52824935548939E1,1.19549936292694E1,1.1461447036042,1.6174993534945E1,1.35699935931713E1,1.71242777570821,1.81049934918061E1
19910905,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.10299936499447E1,9.11184573702138,1.5719993545115E1,1.05299936611206E1,1.43596736670112E1,1.47799935661257E1,1.12799936443568E1,0.889124327596072,1.52824935548939E1,1.21049936259166E1,1.13190469777622,1.6174993534945E1,1.36649935910479E1,1.67380049603883,1.81049934918061E1
19910906,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.09599936515093E1,9.11184573702138,1.5719993545115E1,1.04899936620146E1,1.43596736670112E1,1.47799935661257E1,1.12399936452508E1,0.882140916629491,1.52824935548939E1,1.20499936271459E1,1.14962869904238,1.6174993534945E1,1.36799935907126E1,1.68480594985711,1.81049934918061E1
19910907,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.10199936501682E1,9.11184573702138,1.5719993545115E1,1.05199936613441E1,1.43596736670112E1,1.47799935661257E1,1.12699936445803E1,0.882284544709478,1.52824935548939E1,1.20499936271459E1,1.15890147299314,1.6174993534945E1,1.36999935902655E1,1.69259718188323,1.81049934918061E1
19910908,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.21799936242402E1,9.11184573702138,1.5719993545115E1,1.16799936354161E1,1.43596736670112E1,1.47799935661257E1,1.23349936207757E1,0.730454780718244,1.52824935548939E1,1.28649936089293E1,0.854363598464085,1.6174993534945E1,1.40999935813248E1,1.25332146157581,1.81049934918061E1
19910909,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.17599936336279E1,9.11184573702138,1.5719993545115E1,1.13499936427921E1,1.43596736670112E1,1.47799935661257E1,1.19699936289341E1,0.684227363041313,1.52824935548939E1,1.25949936149642E1,0.919896163126882,1.6174993534945E1,1.39849935838953E1,1.36828221959591,1.81049934918061E1
19910910,Port Nolloth,1.68674223866667E1,-2.925710112E1,1.16699936356396E1,9.11184573702138,1.5719993545115E1,1.12799936443568E1,1.43596736670112E1,1.47799935661257E1,1.19149936301634E1,0.686681554920658,1.52824935548939E1,1.25649936156348E1,0.939657233162532,1.6174993534945E1,1.399999358356E1,1.3804484581493,1.81049934918061E1
