Direction,Events,Events/Year,ChiSqr,RSqr,Method,Fit,Alpha,Beta,Xi,POT,,1,,,5,,,10,,,25,,,30,,,40,,,50,,,100,,
All,150,     8.920,yes,     0.000,ML/MOM,weibull3,     0.461,     1.109,     3.402,     3.394,       NaN,     4.336,       NaN,       NaN,     4.938,       NaN,       NaN,     5.189,       NaN,       NaN,     5.515,       NaN,       NaN,     5.579,       NaN,       NaN,     5.680,       NaN,       NaN,     5.758,       NaN,       NaN,     5.998,       NaN,
SW,6,     0.357,yes,     0.000,ML/MOM,weibull3,     0.324,     0.927,     3.350,     3.394,       NaN,     3.025,       NaN,       NaN,     3.529,       NaN,       NaN,     3.769,       NaN,       NaN,     4.103,       NaN,       NaN,     4.171,       NaN,       NaN,     4.279,       NaN,       NaN,     4.363,       NaN,       NaN,     4.629,       NaN,
W,144,     8.563,yes,     0.000,ML/MOM,weibull3,     0.462,     1.107,     3.408,     3.394,       NaN,     4.329,       NaN,       NaN,     4.934,       NaN,       NaN,     5.186,       NaN,       NaN,     5.514,       NaN,       NaN,     5.578,       NaN,       NaN,     5.680,       NaN,       NaN,     5.758,       NaN,       NaN,     5.999,       NaN,
